player_name,predictor_season,team_fg,power_skill_score,contact_skill_score,speed_skill_score,breakout_score
Aaron Judge,2022,NYY,3.6155,-0.6515,0.0,1.8346
Aaron Judge,2024,NYY,3.5963,-0.9089,0.0,1.7182
Yordan Alvarez,2022,HOU,2.8042,0.4266,0.0,1.705
Shohei Ohtani,2024,LAD,2.9412,-0.4439,0.0,1.6108
Ronald Acuna Jr.,2023,ATL,1.9985,1.2345,0.0,1.606
Aaron Judge,2023,NYY,3.6274,-1.4824,0.0,1.5726
Juan Soto,2024,NYY,2.3011,0.4993,0.0,1.4258
Giancarlo Stanton,2024,NYY,2.8018,-1.5383,0.0,1.331
Yordan Alvarez,2023,HOU,2.051,0.6711,0.0,1.2947
Vladimir Guerrero Jr.,2024,TOR,1.6147,0.8365,0.0,1.2167
Matt Olson,2023,ATL,1.9735,-0.5386,0.0,1.1994
Shohei Ohtani,2022,LAA,2.1185,-0.6117,0.0,1.1909
Shohei Ohtani,2023,LAA,2.3215,-0.5651,0.0,1.1535
Oneil Cruz,2024,PIT,2.265,-1.5162,0.0,1.1461
Giancarlo Stanton,2022,NYY,2.6527,-1.8227,0.0,1.1288
Yordan Alvarez,2024,HOU,1.6779,0.9921,0.0,1.1203
Kyle Schwarber,2022,PHI,2.3746,-1.2459,0.0,1.11
Ketel Marte,2024,ARI,1.4137,0.4984,0.0,1.0985
Juan Soto,2023,SDP,1.2038,0.7269,0.0,1.0606
Bobby Witt Jr.,2024,KCR,1.5778,0.8427,0.0,1.0491
Fernando Tatis Jr.,2024,SDP,1.6457,-0.2357,0.0,1.037
Vladimir Guerrero Jr.,2022,TOR,1.3131,0.5256,0.0,1.0132
Yandy Diaz,2024,TBR,0.6164,1.2714,0.0,1.0001
Mike Trout,2022,LAA,2.1802,-1.1303,0.0,0.9715
Austin Riley,2022,ATL,1.7267,-0.4057,0.0,0.9335
Ronald Acuna Jr.,2022,ATL,1.2776,-0.3824,0.0,0.9155
Matt Chapman,2023,TOR,1.7817,-1.0935,0.0,0.9033
Patrick Wisdom,2023,CHC,2.1227,-1.8629,0.0,0.9033
Matt Olson,2022,ATL,1.5895,-0.7283,0.0,0.8924
Rowdy Tellez,2022,MIL,1.3465,0.1318,0.0,0.8764
Corey Seager,2023,TEX,1.4439,0.6085,0.0,0.8742
Joc Pederson,2023,SFG,1.1411,0.1176,0.0,0.8599
Yandy Diaz,2023,TBR,0.6941,0.9519,0.0,0.84
Kyle Schwarber,2024,PHI,1.7497,-1.2377,0.0,0.8389
Austin Riley,2024,ATL,1.5832,-0.5464,0.0,0.8369
Joc Pederson,2022,SFG,1.5309,0.0199,0.0,0.8329
Corey Seager,2024,TEX,1.4028,0.4379,0.0,0.8244
Jake Burger,2023,- - -,1.7471,-0.8842,0.0,0.8142
Mike Trout,2023,LAA,1.4391,-0.8394,0.0,0.813
Marcell Ozuna,2023,ATL,1.529,-0.1318,0.0,0.8126
Rafael Devers,2023,BOS,1.1872,-0.038,0.0,0.8083
Giancarlo Stanton,2023,NYY,1.8502,-1.3961,0.0,0.8046
Pete Alonso,2022,NYM,1.1219,0.4136,0.0,0.7955
Julio Rodriguez,2022,SEA,1.4418,-0.8285,0.0,0.7856
Juan Soto,2022,- - -,0.9507,0.9455,0.0,0.7827
Pete Alonso,2024,NYM,1.157,-0.1436,0.0,0.782
Vladimir Guerrero Jr.,2023,TOR,0.947,0.7605,0.0,0.7816
Marcell Ozuna,2024,ATL,1.5397,-0.7797,0.0,0.7518
Matt Chapman,2024,SFG,1.2348,-0.2344,0.0,0.7446
Lars Nootbaar,2024,STL,0.626,0.5567,0.0,0.7394
Matt Wallner,2024,MIN,2.057,-2.5756,0.0,0.7355
Seiya Suzuki,2024,CHC,1.0873,-0.5286,0.0,0.7312
Jesus Sanchez,2024,MIA,1.2364,-0.6979,0.0,0.7233
Austin Riley,2023,ATL,1.2926,-0.3979,0.0,0.7225
William Contreras,2024,MIL,1.025,-0.2103,0.0,0.7215
Manny Machado,2024,SDP,1.0146,0.2428,0.0,0.7168
Matt Wallner,2023,MIN,1.921,-1.7909,0.0,0.7143
Julio Rodriguez,2023,SEA,1.1082,-0.2957,0.0,0.7108
Sean Murphy,2023,ATL,1.3515,-0.1646,0.0,0.7106
Jose Ramirez,2024,CLE,0.5387,1.5367,0.0,0.7105
Eloy Jimenez,2022,CHW,1.442,-0.6598,0.0,0.7075
