target,feature,std_coeff,abs_coeff,selected,cv_r2
HR,pa_predictor_season,2.774226,2.774226,True,0.4526
HR,barrel_pct,2.184255,2.184255,True,0.4526
HR,bb_pct,1.440819,1.440819,True,0.4526
HR,avg_exit_velocity,1.138407,1.138407,True,0.4526
HR,max_exit_velocity,1.132343,1.132343,True,0.4526
HR,age,-1.115956,1.115956,True,0.4526
HR,k_pct,-1.044196,1.044196,True,0.4526
HR,z_swing_pct,0.785292,0.785292,True,0.4526
HR,o_swing_pct,0.756316,0.756316,True,0.4526
HR,hard_hit_pct,0.704537,0.704537,True,0.4526
HR,launch_angle_avg,0.695222,0.695222,True,0.4526
HR,fb_pct,0.415628,0.415628,True,0.4526
HR,o_contact_pct,0.4099,0.4099,True,0.4526
HR,pull_pct,0.356831,0.356831,True,0.4526
HR,cent_pct,-0.334834,0.334834,True,0.4526
HR,gb_pct,-0.304784,0.304784,True,0.4526
HR,sweet_spot_pct,-0.295026,0.295026,True,0.4526
HR,whiff_pct,0.232038,0.232038,True,0.4526
HR,oppo_pct,-0.22109,0.22109,True,0.4526
HR,ld_pct,-0.207077,0.207077,True,0.4526
HR,swing_pct,-0.113069,0.113069,True,0.4526
HR,contact_pct,-0.075282,0.075282,True,0.4526
HR,z_contact_pct,0.070566,0.070566,True,0.4526
R,pa_predictor_season,11.378133,11.378133,True,0.3663
R,age,-4.942071,4.942071,True,0.3663
R,k_pct,-4.367173,4.367173,True,0.3663
R,avg_exit_velocity,2.795464,2.795464,True,0.3663
R,barrel_pct,2.791049,2.791049,True,0.3663
R,bb_pct,1.922775,1.922775,True,0.3663
R,max_exit_velocity,1.553755,1.553755,True,0.3663
R,z_swing_pct,1.224006,1.224006,True,0.3663
R,gb_pct,-1.1008,1.1008,True,0.3663
R,sweet_spot_pct,-1.029487,1.029487,True,0.3663
R,launch_angle_avg,0.347355,0.347355,True,0.3663
R,o_contact_pct,0.153953,0.153953,True,0.3663
R,cent_pct,-0.077132,0.077132,True,0.3663
R,o_swing_pct,-0.0,0.0,False,0.3663
R,swing_pct,-0.0,0.0,False,0.3663
R,z_contact_pct,0.0,0.0,False,0.3663
R,hard_hit_pct,0.0,0.0,False,0.3663
R,whiff_pct,-0.0,0.0,False,0.3663
R,contact_pct,0.0,0.0,False,0.3663
R,pull_pct,0.0,0.0,False,0.3663
R,ld_pct,0.0,0.0,False,0.3663
R,fb_pct,0.0,0.0,False,0.3663
R,oppo_pct,-0.0,0.0,False,0.3663
RBI,pa_predictor_season,8.966127,8.966127,True,0.37
RBI,k_pct,-3.547808,3.547808,True,0.37
RBI,age,-3.412633,3.412633,True,0.37
RBI,barrel_pct,3.410468,3.410468,True,0.37
RBI,avg_exit_velocity,3.284415,3.284415,True,0.37
RBI,bb_pct,2.782905,2.782905,True,0.37
RBI,o_swing_pct,2.326697,2.326697,True,0.37
RBI,hard_hit_pct,2.2943,2.2943,True,0.37
RBI,max_exit_velocity,1.987581,1.987581,True,0.37
RBI,o_contact_pct,1.754852,1.754852,True,0.37
RBI,z_swing_pct,1.752465,1.752465,True,0.37
