target,feature,coeff,std_err,t_stat,p_value,conf_int_low,conf_int_high,model_r2,model_adj_r2,n_obs
HR,const,14.59312,0.2644,55.1933,0.0,14.074905,15.111334,0.4636,0.4584,843
HR,pa_predictor_season,2.967323,0.301555,9.8401,0.0,2.376287,3.558359,0.4636,0.4584,843
HR,barrel_pct,4.367476,0.561915,7.7725,0.0,3.266143,5.468808,0.4636,0.4584,843
HR,bb_pct,1.115881,0.322975,3.455,0.00055,0.482861,1.748901,0.4636,0.4584,843
HR,avg_exit_velocity,0.396278,0.457945,0.8653,0.386852,-0.501277,1.293834,0.4636,0.4584,843
HR,max_exit_velocity,0.895727,0.438558,2.0424,0.041108,0.036168,1.755285,0.4636,0.4584,843
HR,age,-0.968727,0.247447,-3.9149,9e-05,-1.453714,-0.48374,0.4636,0.4584,843
HR,k_pct,-1.308279,0.386061,-3.3888,0.000702,-2.064945,-0.551612,0.4636,0.4584,843
HR,z_swing_pct,1.04979,0.289962,3.6204,0.000294,0.481474,1.618106,0.4636,0.4584,843
R,const,53.683274,0.743905,72.1641,0.0,52.225247,55.141302,0.398,0.3922,843
R,pa_predictor_season,11.550102,0.833397,13.8591,0.0,9.916675,13.18353,0.398,0.3922,843
R,age,-5.393461,0.736374,-7.3243,0.0,-6.836728,-3.950194,0.398,0.3922,843
R,k_pct,-5.466885,1.129119,-4.8417,1e-06,-7.679918,-3.253853,0.398,0.3922,843
R,avg_exit_velocity,2.053885,1.307559,1.5708,0.116234,-0.508884,4.616654,0.398,0.3922,843
R,barrel_pct,4.746452,1.639736,2.8946,0.003796,1.532629,7.960276,0.398,0.3922,843
R,bb_pct,2.742548,0.934855,2.9337,0.00335,0.910265,4.574831,0.398,0.3922,843
R,max_exit_velocity,1.095847,1.220415,0.8979,0.369223,-1.296122,3.487816,0.398,0.3922,843
R,z_swing_pct,1.95554,0.842775,2.3204,0.020321,0.303732,3.607348,0.398,0.3922,843
RBI,const,52.349941,0.740848,70.6622,0.0,50.897905,53.801977,0.3967,0.3909,843
RBI,pa_predictor_season,9.863072,0.84492,11.6734,0.0,8.207059,11.519084,0.3967,0.3909,843
RBI,k_pct,-5.562986,1.098885,-5.0624,0.0,-7.716761,-3.409211,0.3967,0.3909,843
RBI,age,-3.44391,0.728263,-4.7289,2e-06,-4.871279,-2.016541,0.3967,0.3909,843
RBI,barrel_pct,7.417019,1.512674,4.9033,1e-06,4.452233,10.381805,0.3967,0.3909,843
RBI,avg_exit_velocity,3.862467,2.230865,1.7314,0.083385,-0.509948,8.234882,0.3967,0.3909,843
RBI,bb_pct,3.951727,1.398039,2.8266,0.004704,1.211622,6.691833,0.3967,0.3909,843
RBI,o_swing_pct,4.25837,1.369162,3.1102,0.00187,1.574862,6.941878,0.3967,0.3909,843
RBI,hard_hit_pct,0.060869,2.260045,0.0269,0.978513,-4.368738,4.490477,0.3967,0.3909,843
SB,const,8.181495,0.322226,25.3905,0.0,7.549943,8.813046,0.1491,0.1409,843
SB,age,-2.712135,0.3375,-8.036,0.0,-3.373624,-2.050647,0.1491,0.1409,843
SB,pa_predictor_season,2.490549,0.334846,7.4379,0.0,1.834263,3.146834,0.1491,0.1409,843
SB,hard_hit_pct,-1.732502,0.659416,-2.6273,0.008606,-3.024933,-0.440071,0.1491,0.1409,843
SB,max_exit_velocity,1.270026,0.636627,1.9949,0.046051,0.02226,2.517791,0.1491,0.1409,843
SB,gb_pct,0.385684,0.413066,0.9337,0.350453,-0.423911,1.195279,0.1491,0.1409,843
SB,z_contact_pct,-0.940201,0.399215,-2.3551,0.018516,-1.722648,-0.157754,0.1491,0.1409,843
SB,barrel_pct,-0.774565,0.776621,-0.9974,0.318593,-2.296714,0.747583,0.1491,0.1409,843
SB,bb_pct,-0.093307,0.35031,-0.2664,0.789965,-0.779902,0.593288,0.1491,0.1409,843
AVG,const,0.243853,0.000993,245.6819,0.0,0.241907,0.245798,0.2838,0.277,843
AVG,k_pct,-0.010388,0.002071,-5.0161,1e-06,-0.014447,-0.006329,0.2838,0.277,843
AVG,z_contact_pct,0.007535,0.001836,4.1037,4.1e-05,0.003936,0.011134,0.2838,0.277,843
AVG,barrel_pct,0.00721,0.002394,3.0113,0.002602,0.002517,0.011904,0.2838,0.277,843
AVG,avg_exit_velocity,0.004875,0.001731,2.8156,0.004868,0.001481,0.008268,0.2838,0.277,843
AVG,z_swing_pct,0.004889,0.001014,4.8192,1e-06,0.002901,0.006877,0.2838,0.277,843
AVG,age,-0.003918,0.001041,-3.7636,0.000167,-0.005959,-0.001878,0.2838,0.277,843
AVG,pa_predictor_season,0.003458,0.001054,3.281,0.001034,0.001392,0.005523,0.2838,0.277,843
AVG,fb_pct,-0.00502,0.001175,-4.2715,1.9e-05,-0.007324,-0.002717,0.2838,0.277,843
