target,rank,feature,importance,cv_r2
HR,1,pa_predictor_season,0.151087,0.4426
HR,2,barrel_pct,0.1408,0.4426
HR,3,avg_exit_velocity,0.105249,0.4426
HR,4,hard_hit_pct,0.095356,0.4426
HR,5,max_exit_velocity,0.095296,0.4426
HR,6,fb_pct,0.043042,0.4426
HR,7,bb_pct,0.038132,0.4426
HR,8,gb_pct,0.033473,0.4426
HR,9,launch_angle_avg,0.028283,0.4426
HR,10,k_pct,0.024245,0.4426
HR,11,z_swing_pct,0.023473,0.4426
HR,12,z_contact_pct,0.023002,0.4426
HR,13,pull_pct,0.021961,0.4426
HR,14,oppo_pct,0.021898,0.4426
HR,15,cent_pct,0.021586,0.4426
HR,16,o_contact_pct,0.020282,0.4426
HR,17,swing_pct,0.019941,0.4426
HR,18,o_swing_pct,0.019613,0.4426
HR,19,contact_pct,0.019198,0.4426
HR,20,whiff_pct,0.018256,0.4426
HR,21,ld_pct,0.018057,0.4426
HR,22,age,0.017771,0.4426
HR,23,sweet_spot_pct,0.0,0.4426
R,1,pa_predictor_season,0.264293,0.3444
R,2,max_exit_velocity,0.07141,0.3444
R,3,avg_exit_velocity,0.067078,0.3444
R,4,hard_hit_pct,0.06304,0.3444
R,5,barrel_pct,0.051555,0.3444
R,6,k_pct,0.043621,0.3444
R,7,age,0.037401,0.3444
R,8,bb_pct,0.035181,0.3444
R,9,o_contact_pct,0.033785,0.3444
R,10,z_contact_pct,0.031987,0.3444
R,11,z_swing_pct,0.028527,0.3444
R,12,gb_pct,0.028204,0.3444
R,13,contact_pct,0.02777,0.3444
R,14,fb_pct,0.027734,0.3444
R,15,whiff_pct,0.026221,0.3444
R,16,o_swing_pct,0.024471,0.3444
R,17,ld_pct,0.024137,0.3444
R,18,swing_pct,0.023389,0.3444
R,19,oppo_pct,0.023375,0.3444
R,20,launch_angle_avg,0.022973,0.3444
R,21,cent_pct,0.022433,0.3444
R,22,pull_pct,0.021417,0.3444
R,23,sweet_spot_pct,0.0,0.3444
RBI,1,pa_predictor_season,0.229407,0.3622
RBI,2,avg_exit_velocity,0.089977,0.3622
RBI,3,hard_hit_pct,0.075577,0.3622
RBI,4,max_exit_velocity,0.075514,0.3622
RBI,5,barrel_pct,0.070277,0.3622
RBI,6,k_pct,0.03822,0.3622
RBI,7,bb_pct,0.034844,0.3622
RBI,8,o_contact_pct,0.032802,0.3622
RBI,9,fb_pct,0.032719,0.3622
RBI,10,z_swing_pct,0.032428,0.3622
RBI,11,gb_pct,0.029185,0.3622
RBI,12,z_contact_pct,0.026812,0.3622
RBI,13,launch_angle_avg,0.026743,0.3622
RBI,14,swing_pct,0.025695,0.3622
RBI,15,age,0.024321,0.3622
RBI,16,o_swing_pct,0.024272,0.3622
RBI,17,cent_pct,0.023267,0.3622
RBI,18,contact_pct,0.02324,0.3622
RBI,19,whiff_pct,0.02195,0.3622
RBI,20,oppo_pct,0.021887,0.3622
RBI,21,ld_pct,0.020789,0.3622
RBI,22,pull_pct,0.020073,0.3622
RBI,23,sweet_spot_pct,0.0,0.3622
SB,1,age,0.122202,0.1258
SB,2,pa_predictor_season,0.085981,0.1258
SB,3,times_on_base_proxy,0.060422,0.1258
SB,4,max_exit_velocity,0.054231,0.1258
SB,5,hard_hit_pct,0.052886,0.1258
SB,6,avg_exit_velocity,0.050226,0.1258
SB,7,pull_pct,0.036368,0.1258
SB,8,barrel_pct,0.036327,0.1258
SB,9,oppo_pct,0.035981,0.1258
SB,10,ld_pct,0.035942,0.1258
SB,11,gb_pct,0.035866,0.1258
SB,12,o_contact_pct,0.034937,0.1258
SB,13,launch_angle_avg,0.034892,0.1258
SB,14,k_pct,0.032947,0.1258
SB,15,bb_pct,0.032515,0.1258
SB,16,fb_pct,0.0316,0.1258
SB,17,z_swing_pct,0.031318,0.1258
SB,18,swing_pct,0.030098,0.1258
SB,19,o_swing_pct,0.029461,0.1258
SB,20,z_contact_pct,0.029212,0.1258
SB,21,team_runs_scored,0.028507,0.1258
SB,22,cent_pct,0.026668,0.1258
SB,23,contact_pct,0.026309,0.1258
SB,24,whiff_pct,0.025105,0.1258
SB,25,sweet_spot_pct,0.0,0.1258
AVG,1,k_pct,0.109738,0.2388
AVG,2,pa_predictor_season,0.076055,0.2388
AVG,3,z_contact_pct,0.066189,0.2388
AVG,4,avg_exit_velocity,0.058561,0.2388
AVG,5,o_contact_pct,0.057248,0.2388
AVG,6,hard_hit_pct,0.053719,0.2388
AVG,7,contact_pct,0.050542,0.2388
AVG,8,max_exit_velocity,0.047366,0.2388
AVG,9,fb_pct,0.043227,0.2388
AVG,10,whiff_pct,0.037822,0.2388
AVG,11,z_swing_pct,0.03777,0.2388
AVG,12,o_swing_pct,0.036953,0.2388
AVG,13,pull_pct,0.036006,0.2388
AVG,14,oppo_pct,0.035832,0.2388
AVG,15,barrel_pct,0.035719,0.2388
AVG,16,launch_angle_avg,0.034778,0.2388
AVG,17,swing_pct,0.034766,0.2388
AVG,18,ld_pct,0.03423,0.2388
AVG,19,cent_pct,0.030428,0.2388
AVG,20,bb_pct,0.029125,0.2388
AVG,21,gb_pct,0.028961,0.2388
AVG,22,age,0.024967,0.2388
AVG,23,sweet_spot_pct,0.0,0.2388
