target,feature,std_coeff,abs_coeff,selected,cv_r2
HR_rate,barrel_pct,0.00464,0.00464,True,0.4469
HR_rate,launch_angle_avg,0.002128,0.002128,True,0.4469
HR_rate,bb_pct,0.001896,0.001896,True,0.4469
HR_rate,max_exit_velocity,0.001866,0.001866,True,0.4469
HR_rate,pull_pct,0.001846,0.001846,True,0.4469
HR_rate,avg_exit_velocity,0.001391,0.001391,True,0.4469
HR_rate,pa_predictor_season,0.001237,0.001237,True,0.4469
HR_rate,o_swing_pct,0.001219,0.001219,True,0.4469
HR_rate,z_swing_pct,0.000858,0.000858,True,0.4469
HR_rate,hard_hit_pct,0.000752,0.000752,True,0.4469
HR_rate,age,-0.000488,0.000488,True,0.4469
HR_rate,fb_pct,0.000452,0.000452,True,0.4469
HR_rate,ld_pct,-0.000415,0.000415,True,0.4469
HR_rate,o_contact_pct,0.000263,0.000263,True,0.4469
HR_rate,sweet_spot_pct,-7.6e-05,7.6e-05,True,0.4469
HR_rate,k_pct,-3e-06,3e-06,True,0.4469
HR_rate,swing_pct,0.0,0.0,False,0.4469
HR_rate,z_contact_pct,0.0,0.0,False,0.4469
HR_rate,contact_pct,0.0,0.0,False,0.4469
HR_rate,whiff_pct,0.0,0.0,False,0.4469
HR_rate,gb_pct,-0.0,0.0,False,0.4469
HR_rate,oppo_pct,-0.0,0.0,False,0.4469
HR_rate,cent_pct,-0.0,0.0,False,0.4469
R_rate,pa_predictor_season,0.005595,0.005595,True,0.1569
R_rate,age,-0.004694,0.004694,True,0.1569
R_rate,barrel_pct,0.003166,0.003166,True,0.1569
R_rate,k_pct,-0.002992,0.002992,True,0.1569
R_rate,max_exit_velocity,0.002093,0.002093,True,0.1569
R_rate,z_swing_pct,0.00206,0.00206,True,0.1569
R_rate,bb_pct,0.002026,0.002026,True,0.1569
R_rate,launch_angle_avg,0.001906,0.001906,True,0.1569
R_rate,sweet_spot_pct,-0.00114,0.00114,True,0.1569
R_rate,o_swing_pct,-0.001007,0.001007,True,0.1569
R_rate,pull_pct,0.00072,0.00072,True,0.1569
R_rate,oppo_pct,-0.000716,0.000716,True,0.1569
R_rate,avg_exit_velocity,0.000421,0.000421,True,0.1569
R_rate,ld_pct,0.000341,0.000341,True,0.1569
R_rate,swing_pct,0.0,0.0,False,0.1569
R_rate,z_contact_pct,0.0,0.0,False,0.1569
R_rate,o_contact_pct,-0.0,0.0,False,0.1569
R_rate,whiff_pct,-0.0,0.0,False,0.1569
R_rate,contact_pct,0.0,0.0,False,0.1569
R_rate,hard_hit_pct,0.0,0.0,False,0.1569
R_rate,fb_pct,0.0,0.0,False,0.1569
R_rate,gb_pct,-0.0,0.0,False,0.1569
R_rate,cent_pct,-0.0,0.0,False,0.1569
RBI_rate,o_swing_pct,0.005596,0.005596,True,0.1996
RBI_rate,barrel_pct,0.005332,0.005332,True,0.1996
RBI_rate,fb_pct,0.003952,0.003952,True,0.1996
RBI_rate,avg_exit_velocity,0.003504,0.003504,True,0.1996
RBI_rate,bb_pct,0.003323,0.003323,True,0.1996
RBI_rate,k_pct,-0.002588,0.002588,True,0.1996
RBI_rate,hard_hit_pct,0.002333,0.002333,True,0.1996
RBI_rate,max_exit_velocity,0.002101,0.002101,True,0.1996
RBI_rate,pa_predictor_season,0.001455,0.001455,True,0.1996
RBI_rate,pull_pct,0.001037,0.001037,True,0.1996
RBI_rate,oppo_pct,-0.000714,0.000714,True,0.1996
RBI_rate,o_contact_pct,0.000668,0.000668,True,0.1996
RBI_rate,z_contact_pct,0.000468,0.000468,True,0.1996
RBI_rate,launch_angle_avg,0.000372,0.000372,True,0.1996
RBI_rate,sweet_spot_pct,-0.000316,0.000316,True,0.1996
RBI_rate,age,-0.000145,0.000145,True,0.1996
RBI_rate,swing_pct,-0.0,0.0,False,0.1996
RBI_rate,z_swing_pct,0.0,0.0,False,0.1996
RBI_rate,contact_pct,0.0,0.0,False,0.1996
RBI_rate,whiff_pct,-0.0,0.0,False,0.1996
RBI_rate,gb_pct,-0.0,0.0,False,0.1996
RBI_rate,ld_pct,-0.0,0.0,False,0.1996
RBI_rate,cent_pct,-0.0,0.0,False,0.1996
SB_rate,age,-0.004433,0.004433,True,0.0979
SB_rate,hard_hit_pct,-0.004381,0.004381,True,0.0979
SB_rate,pa_predictor_season,0.002229,0.002229,True,0.0979
SB_rate,max_exit_velocity,0.001854,0.001854,True,0.0979
SB_rate,o_contact_pct,-0.001498,0.001498,True,0.0979
SB_rate,barrel_pct,-0.001103,0.001103,True,0.0979
SB_rate,z_contact_pct,-0.001034,0.001034,True,0.0979
SB_rate,launch_angle_avg,-0.000866,0.000866,True,0.0979
SB_rate,avg_exit_velocity,-0.000794,0.000794,True,0.0979
SB_rate,team_runs_scored,0.000714,0.000714,True,0.0979
SB_rate,o_swing_pct,-0.000559,0.000559,True,0.0979
SB_rate,k_pct,0.000509,0.000509,True,0.0979
SB_rate,bb_pct,-0.00037,0.00037,True,0.0979
SB_rate,z_swing_pct,-8.8e-05,8.8e-05,True,0.0979
SB_rate,whiff_pct,0.0,0.0,False,0.0979
SB_rate,swing_pct,-0.0,0.0,False,0.0979
SB_rate,contact_pct,-0.0,0.0,False,0.0979
SB_rate,fb_pct,-0.0,0.0,False,0.0979
SB_rate,gb_pct,0.0,0.0,False,0.0979
SB_rate,sweet_spot_pct,-0.0,0.0,False,0.0979
SB_rate,ld_pct,0.0,0.0,False,0.0979
SB_rate,oppo_pct,0.0,0.0,False,0.0979
SB_rate,cent_pct,-0.0,0.0,False,0.0979
SB_rate,pull_pct,-0.0,0.0,False,0.0979
SB_rate,times_on_base_proxy,0.0,0.0,False,0.0979
