target,rank,feature,importance,cv_r2
HR_rate,1,barrel_pct,0.174148,0.4236
HR_rate,2,hard_hit_pct,0.102203,0.4236
HR_rate,3,avg_exit_velocity,0.098235,0.4236
HR_rate,4,max_exit_velocity,0.092318,0.4236
HR_rate,5,fb_pct,0.0671,0.4236
HR_rate,6,launch_angle_avg,0.043081,0.4236
HR_rate,7,pull_pct,0.042105,0.4236
HR_rate,8,gb_pct,0.040818,0.4236
HR_rate,9,z_contact_pct,0.033828,0.4236
HR_rate,10,pa_predictor_season,0.032587,0.4236
HR_rate,11,oppo_pct,0.029887,0.4236
HR_rate,12,bb_pct,0.02863,0.4236
HR_rate,13,k_pct,0.027699,0.4236
HR_rate,14,contact_pct,0.026884,0.4236
HR_rate,15,whiff_pct,0.026518,0.4236
HR_rate,16,o_contact_pct,0.024426,0.4236
HR_rate,17,cent_pct,0.024318,0.4236
HR_rate,18,o_swing_pct,0.019972,0.4236
HR_rate,19,ld_pct,0.019632,0.4236
HR_rate,20,z_swing_pct,0.018806,0.4236
HR_rate,21,swing_pct,0.015737,0.4236
HR_rate,22,age,0.011067,0.4236
HR_rate,23,sweet_spot_pct,0.0,0.4236
R_rate,1,pa_predictor_season,0.134805,0.1513
R_rate,2,avg_exit_velocity,0.066462,0.1513
R_rate,3,max_exit_velocity,0.065135,0.1513
R_rate,4,hard_hit_pct,0.060694,0.1513
R_rate,5,barrel_pct,0.056259,0.1513
R_rate,6,age,0.05288,0.1513
R_rate,7,bb_pct,0.046304,0.1513
R_rate,8,k_pct,0.041261,0.1513
R_rate,9,fb_pct,0.040359,0.1513
R_rate,10,o_swing_pct,0.039899,0.1513
R_rate,11,gb_pct,0.037197,0.1513
R_rate,12,cent_pct,0.035695,0.1513
R_rate,13,o_contact_pct,0.034379,0.1513
R_rate,14,z_swing_pct,0.03321,0.1513
R_rate,15,launch_angle_avg,0.033073,0.1513
R_rate,16,oppo_pct,0.032704,0.1513
R_rate,17,ld_pct,0.032337,0.1513
R_rate,18,swing_pct,0.032153,0.1513
R_rate,19,whiff_pct,0.032126,0.1513
R_rate,20,pull_pct,0.031913,0.1513
R_rate,21,z_contact_pct,0.031047,0.1513
R_rate,22,contact_pct,0.030109,0.1513
R_rate,23,sweet_spot_pct,0.0,0.1513
RBI_rate,1,avg_exit_velocity,0.10147,0.1901
RBI_rate,2,barrel_pct,0.098688,0.1901
RBI_rate,3,hard_hit_pct,0.092296,0.1901
RBI_rate,4,max_exit_velocity,0.075478,0.1901
RBI_rate,5,fb_pct,0.057156,0.1901
RBI_rate,6,pa_predictor_season,0.053122,0.1901
RBI_rate,7,gb_pct,0.042962,0.1901
RBI_rate,8,launch_angle_avg,0.042272,0.1901
RBI_rate,9,o_swing_pct,0.03828,0.1901
RBI_rate,10,pull_pct,0.036504,0.1901
RBI_rate,11,oppo_pct,0.036084,0.1901
RBI_rate,12,k_pct,0.03598,0.1901
RBI_rate,13,swing_pct,0.032109,0.1901
RBI_rate,14,o_contact_pct,0.031805,0.1901
RBI_rate,15,z_swing_pct,0.031604,0.1901
RBI_rate,16,bb_pct,0.031449,0.1901
RBI_rate,17,ld_pct,0.030901,0.1901
RBI_rate,18,cent_pct,0.030242,0.1901
RBI_rate,19,z_contact_pct,0.029549,0.1901
RBI_rate,20,whiff_pct,0.028236,0.1901
RBI_rate,21,contact_pct,0.025204,0.1901
RBI_rate,22,age,0.018609,0.1901
RBI_rate,23,sweet_spot_pct,0.0,0.1901
SB_rate,1,age,0.093686,0.1186
SB_rate,2,hard_hit_pct,0.07919,0.1186
SB_rate,3,avg_exit_velocity,0.068036,0.1186
SB_rate,4,max_exit_velocity,0.051388,0.1186
SB_rate,5,pa_predictor_season,0.047726,0.1186
SB_rate,6,k_pct,0.043772,0.1186
SB_rate,7,o_contact_pct,0.043688,0.1186
SB_rate,8,barrel_pct,0.042752,0.1186
SB_rate,9,gb_pct,0.041333,0.1186
SB_rate,10,launch_angle_avg,0.038057,0.1186
SB_rate,11,ld_pct,0.037807,0.1186
SB_rate,12,contact_pct,0.036483,0.1186
SB_rate,13,z_contact_pct,0.035812,0.1186
SB_rate,14,times_on_base_proxy,0.035021,0.1186
SB_rate,15,z_swing_pct,0.034037,0.1186
SB_rate,16,bb_pct,0.03372,0.1186
SB_rate,17,pull_pct,0.032768,0.1186
SB_rate,18,oppo_pct,0.032678,0.1186
SB_rate,19,fb_pct,0.032134,0.1186
SB_rate,20,o_swing_pct,0.030808,0.1186
SB_rate,21,whiff_pct,0.030065,0.1186
SB_rate,22,team_runs_scored,0.029265,0.1186
SB_rate,23,cent_pct,0.026042,0.1186
SB_rate,24,swing_pct,0.023731,0.1186
SB_rate,25,sweet_spot_pct,0.0,0.1186
